t,A,B,C,D,E,
1.470099,590,358,49,3,0,
1.471966,589,359,49,3,0,
1.473858,588,360,49,3,0,
1.479997,587,361,49,3,0,
1.482855,587,360,50,3,0,
1.484683,586,361,50,3,0,
1.490442,585,362,50,3,0,
1.493770,585,361,51,3,0,
1.495583,585,360,52,3,0,
1.501856,584,361,52,3,0,
1.503717,583,362,52,3,0,
1.506846,582,363,52,3,0,
1.514431,582,362,53,3,0,
1.517148,581,363,53,3,0,
1.519313,581,362,54,3,0,
1.522562,580,363,54,3,0,
1.527602,580,362,55,3,0,
1.533932,579,363,55,3,0,
1.536012,578,364,55,3,0,
1.539210,577,365,55,3,0,
1.541061,577,364,56,3,0,
1.547275,576,365,56,3,0,
1.549343,575,366,56,3,0,
1.551244,574,367,56,3,0,
1.553197,573,368,56,3,0,
1.555199,572,369,56,3,0,
1.560557,572,368,57,3,0,
1.564414,571,369,57,3,0,
1.566449,570,370,57,3,0,
1.570132,569,371,57,3,0,
1.576305,568,372,57,3,0,
1.578393,568,371,58,3,0,
1.582700,568,370,59,3,0,
1.586498,567,371,59,3,0,
1.589240,566,372,59,3,0,
1.591764,565,373,59,3,0,
1.594103,564,374,59,3,0,
1.598721,563,375,59,3,0,
1.601477,563,374,60,3,0,
1.603326,562,375,60,3,0,
1.611391,561,376,60,3,0,
1.619034,560,377,60,3,0,
1.621052,559,378,60,3,0,
1.623661,558,379,60,3,0,
1.626844,557,380,60,3,0,
1.634217,556,381,60,3,0,
1.638738,556,380,61,3,0,
1.641016,555,381,61,3,0,
1.646578,554,382,61,3,0,
1.648721,553,383,61,3,0,
1.650683,552,384,61,3,0,
1.653780,552,383,62,3,0,
1.655796,552,382,63,3,0,
1.660562,551,383,63,3,0,
1.667856,550,384,63,3,0,
1.671824,549,385,63,3,0,
1.675548,548,386,63,3,0,
1.680277,548,385,64,3,0,
1.685158,548,384,65,3,0,
1.692583,547,385,65,3,0,
1.695150,546,386,65,3,0,
1.699425,546,385,66,3,0,
1.702228,546,384,67,3,0,
1.706853,546,383,68,3,0,
1.716044,545,384,68,3,0,
1.718935,544,385,68,3,0,
1.720887,543,386,68,3,0,
1.723758,542,387,68,3,0,
1.726151,542,386,69,3,0,
1.731863,541,387,69,3,0,
1.735619,540,388,69,3,0,
1.745476,539,389,69,3,0,
1.752066,538,390,69,3,0,
1.755255,537,391,69,3,0,
1.758020,536,392,69,3,0,
1.761032,535,393,69,3,0,
1.765106,534,394,69,3,0,
1.767575,533,395,69,3,0,
1.777500,532,396,69,3,0,
1.780761,531,397,69,3,0,
1.782688,531,396,70,3,0,
1.792474,530,397,70,3,0,
1.794693,530,396,71,3,0,
1.796938,529,397,71,3,0,
1.800170,528,398,71,3,0,
1.804582,527,399,71,3,0,
1.809599,526,400,71,3,0,
1.816098,526,400,70,4,0,
1.818051,525,401,70,4,0,
1.825031,524,402,70,4,0,
1.826953,523,403,70,4,0,
1.835410,522,404,70,4,0,
1.838002,521,405,70,4,0,
1.846963,520,406,70,4,0,
1.849920,519,407,70,4,0,
1.852120,519,406,71,4,0,
1.855564,518,407,71,4,0,
1.857657,517,408,71,4,0,
1.862156,516,409,71,4,0,
1.865808,515,410,71,4,0,
1.871111,515,409,72,4,0,
1.873522,515,408,73,4,0,
1.876758,514,409,73,4,0,
1.879827,513,410,73,4,0,
1.884809,513,409,74,4,0,
1.887909,512,410,74,4,0,
1.899240,512,409,75,4,0,
1.902601,512,408,76,4,0,
1.905118,511,409,76,4,0,
1.908231,510,410,76,4,0,
1.912286,509,411,76,4,0,
1.915390,508,412,76,4,0,
1.918735,507,413,76,4,0,
1.923127,507,412,77,4,0,
1.925196,507,411,78,4,0,
1.931986,506,412,78,4,0,
1.934583,506,411,79,4,0,
1.937202,506,410,80,4,0,
1.939686,506,409,81,4,0,
1.942711,505,410,81,4,0,
1.944757,504,411,81,4,0,
1.951421,503,412,81,4,0,
1.954828,502,413,81,4,0,
1.957558,502,412,82,4,0,
1.960926,502,411,83,4,0,
1.963314,502,410,84,4,0,
1.966390,501,411,84,4,0,
1.970817,500,412,84,4,0,
1.981411,499,413,84,4,0,
1.987255,499,412,85,4,0,
2.000917,498,413,85,4,0,
2.004424,497,414,85,4,0,
2.006629,496,415,85,4,0,
2.012279,495,416,85,4,0,
2.017751,495,415,86,4,0,
2.022834,495,414,87,4,0,
2.025846,494,415,87,4,0,
2.027974,494,414,88,4,0,
2.029985,493,415,88,4,0,
2.032555,493,414,89,4,0,
2.036798,492,415,89,4,0,
2.039508,491,416,89,4,0,
2.048403,490,417,89,4,0,
2.053067,489,418,89,4,0,
2.056919,489,417,90,4,0,
2.059638,489,416,91,4,0,
2.061937,488,417,91,4,0,
2.064105,487,418,91,4,0,
2.072593,487,417,92,4,0,
2.080402,487,416,93,4,0,
2.082504,486,417,93,4,0,
2.087541,485,418,93,4,0,
2.090762,484,419,93,4,0,
2.092875,483,420,93,4,0,
2.098910,482,421,93,4,0,
2.103921,481,422,93,4,0,
2.106532,481,421,94,4,0,
2.108878,480,422,94,4,0,
2.111857,480,421,95,4,0,
2.113903,480,420,96,4,0,
2.117912,479,421,96,4,0,
2.120383,479,420,97,4,0,
2.125555,478,421,97,4,0,
2.133459,477,422,97,4,0,
2.135813,476,423,97,4,0,
2.138905,475,424,97,4,0,
2.143731,474,425,97,4,0,
2.146560,473,426,97,4,0,
2.154433,473,425,98,4,0,
2.159211,472,426,98,4,0,
2.162135,471,427,98,4,0,
2.164385,471,426,99,4,0,
2.166884,471,425,100,4,0,
2.169418,471,424,101,4,0,
2.180102,471,423,102,4,0,
2.185475,470,424,102,4,0,
2.188944,469,425,102,4,0,
2.192348,468,426,102,4,0,
2.201165,467,427,102,4,0,
2.206169,467,426,103,4,0,
2.208773,466,427,103,4,0,
2.211001,466,426,104,4,0,
2.214521,466,426,103,5,0,
2.221141,465,427,103,5,0,
2.223216,465,426,104,5,0,
2.226029,464,427,104,5,0,
2.228205,464,426,105,5,0,
2.233105,463,427,105,5,0,
2.236196,462,428,105,5,0,
2.243379,461,429,105,5,0,
2.248899,461,428,106,5,0,
2.251662,461,427,107,5,0,
2.254559,460,428,107,5,0,
2.256698,459,429,107,5,0,
2.259508,458,430,107,5,0,
2.262344,458,429,108,5,0,
2.265241,457,430,108,5,0,
2.270739,456,431,108,5,0,
2.273321,456,430,109,5,0,
2.276145,455,431,109,5,0,
2.278196,454,432,109,5,0,
2.280344,453,433,109,5,0,
2.282857,452,434,109,5,0,
2.285834,451,435,109,5,0,
2.288342,450,436,109,5,0,
2.291218,449,437,109,5,0,
2.293431,448,438,109,5,0,
2.296013,448,437,110,5,0,
2.298867,448,436,111,5,0,
2.301219,448,435,112,5,0,
2.303372,448,434,113,5,0,
2.317188,447,435,113,5,0,
2.320818,446,436,113,5,0,
2.323377,446,435,114,5,0,
2.328176,445,436,114,5,0,
2.331429,444,437,114,5,0,
2.334913,443,438,114,5,0,
2.339976,443,437,115,5,0,
2.343125,442,438,115,5,0,
2.345641,441,439,115,5,0,
2.347748,440,440,115,5,0,
2.350088,439,441,115,5,0,
2.352111,438,442,115,5,0,
2.356195,437,443,115,5,0,
2.358227,436,444,115,5,0,
2.360780,436,443,116,5,0,
2.363384,435,444,116,5,0,
2.366513,435,443,117,5,0,
2.370238,434,444,117,5,0,
2.372643,433,445,117,5,0,
2.374884,432,446,117,5,0,
2.380721,431,447,117,5,0,
2.382982,430,448,117,5,0,
2.386324,430,448,116,6,0,
2.388924,430,447,117,6,0,
2.391086,429,448,117,6,0,
2.394222,428,449,117,6,0,
2.401554,427,450,117,6,0,
2.404750,426,451,117,6,0,
2.406842,425,452,117,6,0,
2.409194,425,451,118,6,0,
2.411387,425,450,119,6,0,
2.423539,424,451,119,6,0,
2.428684,424,451,118,7,0,
2.441694,424,450,119,7,0,
2.443810,423,451,119,7,0,
2.448061,422,452,119,7,0,
2.453527,422,451,120,7,0,
2.455571,421,452,120,7,0,
2.459872,421,451,121,7,0,
2.462001,420,452,121,7,0,
2.469557,419,453,121,7,0,
2.471785,418,454,121,7,0,
2.474200,418,453,122,7,0,
2.476303,417,454,122,7,0,
2.479689,417,454,121,8,0,
2.486141,416,455,121,8,0,
2.489958,415,456,121,8,0,
2.492089,415,455,122,8,0,
2.498112,414,456,122,8,0,
2.501459,414,455,123,8,0,
2.507010,413,456,123,8,0,
2.512560,413,455,124,8,0,
2.517339,412,456,124,8,0,
2.522670,412,455,125,8,0,
2.526367,411,456,125,8,0,
2.532851,411,455,126,8,0,
2.538778,410,456,126,8,0,
2.543271,409,457,126,8,0,
2.545985,408,458,126,8,0,
2.550535,407,459,126,8,0,
2.552920,407,458,127,8,0,
2.556240,406,459,127,8,0,
2.559299,405,460,127,8,0,
2.561424,404,461,127,8,0,
2.567088,403,462,127,8,0,
2.571001,402,463,127,8,0,
2.577830,401,464,127,8,0,
2.582743,401,464,126,9,0,
2.585523,400,465,126,9,0,
2.594031,400,464,127,9,0,
2.596831,399,465,127,9,0,
2.599460,398,466,127,9,0,
2.609736,397,467,127,9,0,
2.619018,397,466,128,9,0,
2.621967,396,467,128,9,0,
2.624330,395,468,128,9,0,
2.627104,394,469,128,9,0,
2.630680,393,470,128,9,0,
2.633442,392,471,128,9,0,
2.643289,392,471,127,10,0,
2.648512,392,470,128,10,0,
2.651006,391,471,128,10,0,
2.658009,390,472,128,10,0,
2.661978,390,472,127,11,0,
2.664132,389,473,127,11,0,
2.667165,388,474,127,11,0,
2.674321,387,475,127,11,0,
2.677027,387,474,128,11,0,
2.688349,386,475,128,11,0,
2.690495,385,476,128,11,0,
2.693575,384,477,128,11,0,
2.698943,384,476,129,11,0,
2.701483,383,477,129,11,0,
2.704239,382,478,129,11,0,
2.707091,381,479,129,11,0,
2.709967,380,480,129,11,0,
2.714196,379,481,129,11,0,
2.717905,379,480,130,11,0,
2.720887,379,480,129,12,0,
2.723212,379,479,130,12,0,
2.730518,379,478,131,12,0,
2.735853,378,479,131,12,0,
2.738050,378,478,132,12,0,
2.746194,377,479,132,12,0,
2.748541,376,480,132,12,0,
2.750858,375,481,132,12,0,
2.754575,374,482,132,12,0,
2.758034,373,483,132,12,0,
2.760620,372,484,132,12,0,
2.765889,372,483,133,12,0,
2.768604,371,484,133,12,0,
2.775968,370,485,133,12,0,
2.778257,369,486,133,12,0,
2.781823,368,487,133,12,0,
2.784800,368,486,134,12,0,
2.788106,368,485,135,12,0,
2.796180,368,484,136,12,0,
2.799483,367,485,136,12,0,
2.801867,367,484,137,12,0,
2.804157,367,483,138,12,0,
2.806655,366,484,138,12,0,
2.810398,365,485,138,12,0,
2.813134,365,484,139,12,0,
2.817484,365,483,140,12,0,
2.821514,364,484,140,12,0,
